comparison,records,observed_labels,mean_jaccard,positive_agreement,macro_label_kappa,krippendorff_alpha,alpha_finite,exact_set_agreement,reference
auditor_a_vs_b,318,46,0.8468909060890193,0.8795252225519288,0.8322949342775784,0.8721624138036063,0.8721667834230415,0.559748427672956,visible-model audit; not independent gold
sample,293,46,0.8362061241754074,0.8949367088607595,0.8546347167138278,0.8883950947371781,0.8883992349992816,0.5460750853242321,visible-model audit; not independent gold
low-confidence,25,26,0.18333333333333332,0.6582278481012658,0.7487750715337389,0.6361148259882436,0.6363947376605604,0.12,visible-model audit; not independent gold
total,318,46,0.7848796469079488,0.8836648583484027,0.847090490200546,0.8766713445606721,0.8766755600602427,0.5125786163522013,visible-model audit; not independent gold
