group,surface,count,n,prevalence
exclude:mattpocock/skills,scripts,262,1124,0.23309608540925267
exclude:mattpocock/skills,references,169,1124,0.15035587188612098
exclude:mattpocock/skills,assets,25,1124,0.02224199288256228
exclude:mattpocock/skills,configuration,50,1124,0.04448398576512456
exclude:mattpocock/skills,examples,95,1124,0.08451957295373666
exclude:mattpocock/skills,additional files,461,1124,0.4101423487544484
exclude:mattpocock/skills,additional directories,30,1124,0.026690391459074734
repository:obra/superpowers,SKILL.md,636,694,0.9164265129682997
repository:obra/superpowers,README.md,3,694,0.004322766570605188
repository:obra/superpowers,LICENSE.txt,0,694,0.0
repository:obra/superpowers,AGENTS.md,0,694,0.0
repository:obra/superpowers,agents/,1,694,0.001440922190201729
repository:obra/superpowers,scripts,96,694,0.138328530259366
repository:obra/superpowers,references,112,694,0.16138328530259366
repository:obra/superpowers,assets,2,694,0.002881844380403458
repository:obra/superpowers,configuration,4,694,0.005763688760806916
repository:obra/superpowers,examples,75,694,0.10806916426512968
repository:obra/superpowers,additional files,352,694,0.5072046109510087
repository:obra/superpowers,additional directories,12,694,0.01729106628242075
exclude:obra/superpowers,SKILL.md,262,432,0.6064814814814815
exclude:obra/superpowers,README.md,19,432,0.04398148148148148
exclude:obra/superpowers,LICENSE.txt,9,432,0.020833333333333332
exclude:obra/superpowers,AGENTS.md,19,432,0.04398148148148148
exclude:obra/superpowers,agents/,20,432,0.046296296296296294
exclude:obra/superpowers,scripts,166,432,0.38425925925925924
exclude:obra/superpowers,references,57,432,0.13194444444444445
exclude:obra/superpowers,assets,23,432,0.05324074074074074
exclude:obra/superpowers,configuration,46,432,0.10648148148148148
exclude:obra/superpowers,examples,20,432,0.046296296296296294
exclude:obra/superpowers,additional files,109,432,0.2523148148148148
exclude:obra/superpowers,additional directories,18,432,0.041666666666666664
repository:vercel-labs/agent-skills,SKILL.md,25,47,0.5319148936170213
repository:vercel-labs/agent-skills,README.md,9,47,0.19148936170212766
repository:vercel-labs/agent-skills,LICENSE.txt,0,47,0.0
repository:vercel-labs/agent-skills,AGENTS.md,19,47,0.40425531914893614
repository:vercel-labs/agent-skills,agents/,0,47,0.0
repository:vercel-labs/agent-skills,scripts,2,47,0.0425531914893617
repository:vercel-labs/agent-skills,references,12,47,0.2553191489361702
repository:vercel-labs/agent-skills,assets,0,47,0.0
repository:vercel-labs/agent-skills,configuration,7,47,0.14893617021276595
repository:vercel-labs/agent-skills,examples,0,47,0.0
repository:vercel-labs/agent-skills,additional files,26,47,0.5531914893617021
repository:vercel-labs/agent-skills,additional directories,0,47,0.0
exclude:vercel-labs/agent-skills,SKILL.md,873,1079,0.809082483781279
exclude:vercel-labs/agent-skills,README.md,13,1079,0.012048192771084338
exclude:vercel-labs/agent-skills,LICENSE.txt,9,1079,0.008341056533827619
exclude:vercel-labs/agent-skills,AGENTS.md,0,1079,0.0
exclude:vercel-labs/agent-skills,agents/,21,1079,0.019462465245597776
exclude:vercel-labs/agent-skills,scripts,260,1079,0.24096385542168675
exclude:vercel-labs/agent-skills,references,157,1079,0.14550509731232622
